id	sn	s1	s2	s3	s4	s5	s6	d	dp2	dp2s	d2	d2s	dp4	dp4s	d4	d4s
29089	2	0	2	0	0	0	0	6	7	3	6	5	5	4	6	7
29091	1	0	0	0	1	0	0	6	7	3	6	5	6	4	6	7
29093	0	0	0	0	0	0	0	7	8	3	7	5	6	4	6	7
29095	25	1	8	8	1	0	7	6	6	3	6	5	5	4	6	7
29097	3	1	1	0	0	0	1	5	6	3	5	5	5	4	5	7
29099	3	0	0	1	1	0	1	7	8	3	8	5	6	4	7	7
29101	1	1	0	0	0	0	0	6	6	3	6	5	5	4	5	7
29103	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29105	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29107	1	0	0	0	0	1	0	6	6	3	6	5	5	4	5	7
29109	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29111	1	0	1	0	0	0	0	6	7	3	7	5	5	4	6	7
29113	0	0	0	0	0	0	0	7	8	3	7	5	6	4	7	7
29115	0	0	0	0	0	0	0	6	6	3	6	5	5	4	6	7
29117	0	0	0	0	0	0	0	6	6	3	6	5	5	4	5	7
29119	0	0	0	0	0	0	0	5	6	3	5	4	5	4	5	7
29121	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29123	0	0	0	0	0	0	0	7	8	3	7	5	6	4	6	7
29125	0	0	0	0	0	0	0	6	7	3	7	5	6	4	6	7
29127	1	0	1	0	0	0	0	7	7	3	7	5	6	4	6	7
29129	0	0	0	0	0	0	0	5	6	3	6	4	5	4	5	7
29131	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29133	0	0	0	0	0	0	0	7	9	3	8	4	7	4	6	7
29135	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29137	0	0	0	0	0	0	0	6	7	3	7	5	5	4	6	7
29139	0	0	0	0	0	0	0	7	7	3	7	5	6	4	6	7
29141	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29143	0	0	0	0	0	0	0	7	8	3	7	4	6	4	6	7
29145	1	0	0	0	1	0	0	5	6	3	5	5	5	4	5	7
29147	2	1	1	0	0	0	0	5	5	2	5	4	4	4	5	7
29149	0	0	0	0	0	0	0	6	7	3	6	5	6	4	6	7
29151	1	0	0	0	1	0	0	6	7	3	7	5	6	4	6	7
29153	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29155	0	0	0	0	0	0	0	6	8	3	7	4	6	4	6	7
29157	0	0	0	0	0	0	0	7	8	3	8	5	6	4	7	7
29159	1	0	0	0	1	0	0	6	7	3	6	5	5	4	6	7
29161	3	1	0	0	1	0	1	6	8	4	7	5	6	4	6	7
29163	0	0	0	0	0	0	0	7	7	3	7	5	6	4	7	7
29165	2	0	1	0	0	0	1	5	6	3	6	5	4	4	5	7
29167	1	0	1	0	0	0	0	6	7	3	6	5	5	4	5	7
29169	0	0	0	0	0	0	0	6	7	3	6	5	6	4	6	7
29171	0	0	0	0	0	0	0	6	6	3	6	4	5	4	6	7
29173	0	0	0	0	0	0	0	7	7	3	7	5	6	4	6	7
29175	2	0	1	0	1	0	0	6	7	4	6	5	5	4	6	7
29177	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29179	0	0	0	0	0	0	0	6	8	3	7	5	6	4	6	7
29181	0	0	0	0	0	0	0	6	8	3	7	5	6	4	6	7
29183	8	0	1	4	1	0	2	7	8	4	8	5	6	4	7	7
29185	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29186	0	0	0	0	0	0	0	7	8	3	8	5	6	4	7	7
29187	1	0	0	0	1	0	0	7	8	4	7	5	6	4	6	7
29189	29	1	12	10	0	0	6	8	8	3	8	5	6	4	7	7
29195	1	0	1	0	0	0	0	6	6	3	6	5	5	4	6	7
29197	0	0	0	0	0	0	0	6	6	3	6	4	5	4	6	7
29199	0	0	0	0	0	0	0	6	6	3	6	4	5	4	6	7
29201	0	0	0	0	0	0	0	7	8	3	8	5	6	4	6	7
29203	0	0	0	0	0	0	0	6	7	3	7	5	6	4	6	7
29205	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29207	0	0	0	0	0	0	0	7	8	3	7	5	6	4	6	7
29209	0	0	0	0	0	0	0	5	7	3	6	5	5	4	5	7
29211	0	0	0	0	0	0	0	6	6	3	6	5	5	4	6	7
29213	1	0	1	0	0	0	0	5	7	3	6	5	5	4	5	7
29215	1	0	0	0	0	1	0	6	7	3	7	5	6	4	6	7
29217	1	0	1	0	0	0	0	5	6	3	6	5	5	4	5	7
29219	0	0	0	0	0	0	0	7	7	3	7	5	6	4	7	7
29221	0	0	0	0	0	0	0	7	8	3	7	5	6	4	6	7
29223	0	0	0	0	0	0	0	6	8	3	7	5	6	4	6	7
29225	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29227	0	0	0	0	0	0	0	5	5	2	5	4	4	4	5	7
29229	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29510	11	1	5	1	1	0	3	8	8	3	8	5	7	4	8	7
30001	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30003	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30005	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30009	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30011	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0
30013	3	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0
30015	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30017	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0
30019	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30021	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30023	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30025	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0
30027	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30029	2	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0
30031	3	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0
30033	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30035	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
30037	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30039	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30041	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30043	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30045	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30047	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
30049	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0
30051	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30053	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30055	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30057	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30059	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30061	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30063	2	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0
30065	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30067	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
